transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
ETS1	BoneMarrow	1.25e-57	7.48e-06	9.103	7.2
ETS1	Lung	1.19e-40	4.32e-10	9.689	9.039
ETS1	Pancreas	1.61e-06	0.123	11.359	9.201
ETS1	Prostate	2.23e-38	1.54e-06	9.313	8.975
ETS1	UmbilicalVein	6.71e-168	2.92e-15	6.903	4.072
ETV1	BoneMarrow	9.6e-145	5.43e-11	8.589	3.765
ETV1	Prostate	1.7e-110	1.1e-08	7.606	5.725
ETV1	Stomach	7.22e-103	5.87e-05	6.715	4.691
ETV4	Liver	5.93e-154	0.011	8.523	0.738
ETV4	Prostate	0.00013	0.667	5.312	2.82
FLI1	Blood	5.69e-143	3.29e-47	7.582	6.051
FLI1	BoneMarrow	7.47e-296	1.54e-18	8.153	5.153
FLI1	Brain	4.38e-49	8.12e-11	6.3	4.826
FLI1	Cordblood	1.13e-77	9.31e-18	7.866	5.845
FLI1	Muscle	2.95e-270	9.27e-12	5.953	3.048
FLI1	UmbilicalVein	6.47e-295	6.91e-45	7.119	4.963
FOS	Blood	9.69e-25	5.12e-07	4.437	3.536
FOS	BoneMarrow	2.89e-270	4.34e-19	5.644	2.441
FOS	Breast	6.22e-286	3.65e-38	6.075	3.43
FOS	Cervix	1.92e-149	5.97e-07	7.286	2.785
FOSL1	BoneMarrow	4.86e-256	1.05e-13	5.926	2.747
FOSL1	Breast	1.84e-93	1.28e-19	7.749	5.627
FOSL1	Colon	4.22e-237	5.1e-45	6.702	4.688
FOSL1	MammaryGland	1.78e-103	6.54e-29	6.58	4.565
FOSL2	Brain	3.45e-277	3.65e-90	5.84	3.83
FOSL2	Breast	1.75e-248	1.36e-66	6.151	4.244
FOSL2	Liver	1.35e-247	0.0583	6.275	2.598
FOSL2	Lung	3.9e-275	6.48e-89	5.717	4.027
FOS	UmbilicalVein	2.02e-283	1.41e-47	5.761	3.323
FOXA1	Breast	8.86e-297	2.05e-14	7.258	4.525
FOXA1	Embryo	6e-265	3.32e-19	5.883	3.578
FOXA1	Liver	8e-304	0.14	8.458	0.739
FOXA1	Lung	1.67e-290	2.47e-16	7.018	4.158
FOXA1	MammaryGland	2.31e-282	1.15e-11	6.724	4.697
FOXA1	Prostate	3.8e-286	3.02e-16	6.681	4.196
FOXA2	Colon	2.45e-288	2.9e-29	7.182	6.351
FOXA2	Embryo	3.05e-287	6.82e-35	6.871	4.805
FOXA2	Liver	2.42e-288	0.199	7.785	1.495
FOXA2	Lung	2.1e-302	3.95e-41	7.885	5.873
FOXA2	Skin	1.12e-266	1.03e-29	5.09	3.623
FOXH1	Embryo	1e-112	2.7e-05	3.97	1.619
FOXK2	BoneMarrow	5.59e-70	0.000148	9.267	7.254
FOXK2	Liver	6.54e-26	0.149	9.151	3.237
FOXM1	Blood	5.24e-50	5.85e-08	8.763	7.61
FOXM1	Brain	1.15e-16	0.011	8.364	7.022
FOXM1	Breast	3.78e-150	4.52e-08	6.704	4.027
FOXO1	Tonsil	1.7e-32	0.0109	7.199	4.184
FOXO3	BoneMarrow	0.00794	0.0952	5.621	5.084
FOXO3	Colon	5.07e-15	0.0149	6.638	6.119
FOXO3	Liver	5.42e-30	0.0908	10.789	6.291
FOXP1	BoneMarrow	1.88e-25	0.0133	5.444	3.847
FOXP1	Colon	1.09e-18	0.0178	8.326	7.155
FOXP1	Embryo	1.44e-47	6.08e-08	5.219	3.569
FOXP1	Prostate	2.5e-65	4.96e-07	4.767	3.666
GABPA	Blood	1.64e-223	3.09e-73	5.711	4.831
GABPA	BoneMarrow	5.12e-159	4.15e-14	7.907	4.21
GABPA	Brain	2.3e-123	1.53e-24	7.061	5.006
GABPA	Breast	6.39e-99	1.75e-14	8.254	6.191
GABPA	Cervix	9.67e-72	1.27e-06	8.52	5.202
GABPA	Embryo	1.69e-80	2.83e-19	8.731	6.365
GABPA	Liver	9.87e-146	1.74e-05	7.883	3.466
GABPA	Lung	6.17e-90	2.23e-21	9.235	7.323
GABPA	Prostate	3.27e-140	2e-19	6.776	6.142
GATA1	Blood	5.92e-233	1.92e-35	4.523	3.358
GATA1	BoneMarrow	1.02e-238	8.94e-14	4.238	2.452
GATA1	Cordblood	8.92e-21	0.0914	11.518	8.853
GATA2	Blood	7.86e-35	5.91e-07	6.172	5.077
GATA2	BoneMarrow	1.05e-257	2.34e-17	4.616	3.059
GATA2	Prostate	3.12e-141	2.29e-05	3.568	2.743
GATA2	UmbilicalVein	2.38e-90	0.00261	7.56	3.034
GATA3	Blood	2.29e-162	5.48e-27	6.313	5.628
GATA3	BoneMarrow	4.58e-190	2.47e-15	7.426	8.596
GATA3	Brain	4.16e-262	3.43e-17	6.107	3.499
GATA3	Breast	7.46e-293	4.54e-16	6.807	4.693
GATA3	Embryo	7.98e-276	1.28e-40	6.312	4.945
GATA3	Lung	3.55e-86	4.69e-10	10.879	10.056
GATA3	MammaryGland	7.81e-271	1.57e-20	5.116	4.365
GATA3	Thymus	4.92e-54	0.0303	5.868	6.155
GATA4	Embryo	1e-189	4.47e-19	4.773	3.082
GATA4	Lung	5.29e-79	1.56e-09	5.902	5.858
GATA4	Skin	9.34999999999999e-223	5.4e-22	4.4	4.362
GATA4	Stomach	1.42e-250	0.000149	5.402	1.885
GLI2	Blood	0.0571	1	1.873	2.341
GRHL2	Breast	8.77e-180	5.08e-13	4.601	2.608
GRHL2	Bronchia	6.59e-149	0.893	5.194	-0.33
GRHL2	Prostate	7.78e-38	8.33e-07	7.124	6.277
HIF1A	Bone	0.000226	0.182	5.863	3.339
HIF1A	MammaryGland	1.31e-60	0.000236	2.633	2.184
HINFP	BoneMarrow	1.58e-14	0.000646	3.889	2.29
HINFP	Colon	4.34e-09	0.00221	5.058	2.674
HLF	Liver	1.44e-275	0.456	5.266	0
HNF1A	Liver	7.03e-29	0.303	8.891	3.357
HNF4A	Colon	4.15e-142	7.03e-21	4.7	3.715
HNF4A	Liver	5.9e-191	0.00238	5.749	1.649
HOXA9	Kidney	6.6e-47	2.56e-06	7.062	9.048
HOXB13	Colon	1.38e-28	0.0168	9.208	5.785
HOXB13	Prostate	3.6e-226	3.71e-10	4.109	3.011
HOXC9	Brain	7.37e-72	5.43e-09	5.443	4.293
HSF1	Bone	7.64e-72	7.33e-10	1.385	1.774
HSF1	Breast	1.69e-11	0.107	2.133	1.331
HSF1	MammaryGland	1.67e-09	0.129	3.767	4.819
IRF1	Blood	3.22e-68	5.3e-16	4.679	3.424
IRF1	BoneMarrow	1.35e-48	0.215	5.52	3.705
IRF1	Colon	2.91e-12	0.25	6.286	3.376
IRF4	Blood	1.93e-93	1.06e-15	5.849	4.87
IRF4	BoneMarrow	4.28e-31	6.52e-06	2.082	2.982
JUNB	Blood	1.27e-107	1.22e-40	6.152	5.383
JUNB	BoneMarrow	5.85e-118	3.66e-10	8.152	3.998
JUNB	Colon	1.27e-08	0.000628	9.619	8.783
JUN	BoneMarrow	1.24e-215	1.64e-22	8.088	4.578
JUN	Breast	5.03e-295	1.41e-55	6.504	3.87
JUN	Cervix	4.41e-230	1.92e-18	7.632	3.786
JUN	Colon	7.1e-75	1.19e-19	9.01	8.488
JUN	Coronaryarterysmoothmuscle	1.42e-254	3.98e-39	5.175	3.486
JUND	Blood	1.81e-13	1.4e-05	4.549	4.02
JUND	BoneMarrow	3.05e-37	1.62e-05	4.354	3.695
JUND	Brain	1.96e-26	3.04e-06	4.444	4.058
JUND	Breast	7.43e-12	0.00791	2.305	2.307
JUND	Cervix	1.49e-16	0.469	6.454	1.874
JUND	Colon	1.5e-20	0.000106	6.72	4.369
JUND	Coronaryarterysmoothmuscle	7.81e-32	0.000308	3.189	3.735
JUND	Embryo	4.83e-20	3.18e-06	5.112	4.048
