tf	tissue	model	path
ATF2	EmbryonicKidney	ATF2_EmbryonicKidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF2_EmbryonicKidney/ATF2_EmbryonicKidney_2024-07-26.logistic.rds
ATF3	Blood	ATF3_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Blood/ATF3_Blood_2024-07-26.logistic.rds
ATF3	BoneMarrow	ATF3_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_BoneMarrow/ATF3_BoneMarrow_2024-07-26.logistic.rds
ATF3	Colon	ATF3_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Colon/ATF3_Colon_2024-07-26.logistic.rds
ATF3	Embryo	ATF3_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Embryo/ATF3_Embryo_2024-07-26.logistic.rds
ATF3	Liver	ATF3_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Liver/ATF3_Liver_2024-07-26.logistic.rds
ATF3	Lung	ATF3_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Lung/ATF3_Lung_2024-07-26.logistic.rds
ATF3	Skin	ATF3_Skin	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF3_Skin/ATF3_Skin_2024-07-26.logistic.rds
ATF4	Liver	ATF4_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF4_Liver/ATF4_Liver_2024-07-26.logistic.rds
BACH1	BoneMarrow	BACH1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BACH1_BoneMarrow/BACH1_BoneMarrow_2024-07-26.logistic.rds
BACH1	Embryo	BACH1_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BACH1_Embryo/BACH1_Embryo_2024-07-26.logistic.rds
BACH2	Blood	BACH2_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BACH2_Blood/BACH2_Blood_2024-07-26.logistic.rds
BATF	Blood	BATF_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BATF_Blood/BATF_Blood_2024-07-26.logistic.rds
BATF	BoneMarrow	BATF_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BATF_BoneMarrow/BATF_BoneMarrow_2024-07-26.logistic.rds
BCL11A	Blood	BCL11A_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BCL11A_Blood/BCL11A_Blood_2024-07-26.logistic.rds
BCL11A	EmbryonicKidney	BCL11A_EmbryonicKidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BCL11A_EmbryonicKidney/BCL11A_EmbryonicKidney_2024-07-26.logistic.rds
BCL6	Blood	BCL6_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BCL6_Blood/BCL6_Blood_2024-07-26.logistic.rds
BCL6	BoneMarrow	BCL6_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BCL6_BoneMarrow/BCL6_BoneMarrow_2024-07-26.logistic.rds
BCL6	Tonsil	BCL6_Tonsil	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BCL6_Tonsil/BCL6_Tonsil_2024-07-26.logistic.rds
BHLHE40	Blood	BHLHE40_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BHLHE40_Blood/BHLHE40_Blood_2024-07-26.logistic.rds
BHLHE40	BoneMarrow	BHLHE40_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BHLHE40_BoneMarrow/BHLHE40_BoneMarrow_2024-07-26.logistic.rds
BHLHE40	Liver	BHLHE40_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BHLHE40_Liver/BHLHE40_Liver_2024-07-26.logistic.rds
BHLHE40	Lung	BHLHE40_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/BHLHE40_Lung/BHLHE40_Lung_2024-07-26.logistic.rds
CDX2	Colon	CDX2_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CDX2_Colon/CDX2_Colon_2024-07-26.logistic.rds
CEBPA	Adipose	CEBPA_Adipose	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CEBPA_Adipose/CEBPA_Adipose_2024-07-26.logistic.rds
CEBPA	Blood	CEBPA_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CEBPA_Blood/CEBPA_Blood_2024-07-26.logistic.rds
CEBPA	BoneMarrow	CEBPA_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CEBPA_BoneMarrow/CEBPA_BoneMarrow_2024-07-26.logistic.rds
CEBPA	Liver	CEBPA_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CEBPA_Liver/CEBPA_Liver_2024-07-26.logistic.rds
CEBPA	Pleura	CEBPA_Pleura	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CEBPA_Pleura/CEBPA_Pleura_2024-07-26.logistic.rds
CLOCK	Bone	CLOCK_Bone	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CLOCK_Bone/CLOCK_Bone_2024-07-26.logistic.rds
CLOCK	Colon	CLOCK_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CLOCK_Colon/CLOCK_Colon_2024-07-26.logistic.rds
CREB1	Blood	CREB1_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Blood/CREB1_Blood_2024-07-26.logistic.rds
CREB1	BoneMarrow	CREB1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_BoneMarrow/CREB1_BoneMarrow_2024-07-26.logistic.rds
CREB1	Colon	CREB1_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Colon/CREB1_Colon_2024-07-26.logistic.rds
CREB1	Embryo	CREB1_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Embryo/CREB1_Embryo_2024-07-26.logistic.rds
CREB1	Endometrium	CREB1_Endometrium	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Endometrium/CREB1_Endometrium_2024-07-26.logistic.rds
CREB1	Liver	CREB1_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Liver/CREB1_Liver_2024-07-26.logistic.rds
CREB1	Lung	CREB1_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Lung/CREB1_Lung_2024-07-26.logistic.rds
CREB1	MammaryGland	CREB1_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_MammaryGland/CREB1_MammaryGland_2024-07-26.logistic.rds
CREB1	Prostate	CREB1_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CREB1_Prostate/CREB1_Prostate_2024-07-26.logistic.rds
CTCF	Adipose	CTCF_Adipose	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Adipose/CTCF_Adipose_2024-07-26.logistic.rds
CTCF	Bone	CTCF_Bone	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Bone/CTCF_Bone_2024-07-26.logistic.rds
CTCF	Cerebellum	CTCF_Cerebellum	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Cerebellum/CTCF_Cerebellum_2024-07-26.logistic.rds
CTCF	Cervix	CTCF_Cervix	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Cervix/CTCF_Cervix_2024-07-26.logistic.rds
CTCF	ConnectiveTissue	CTCF_ConnectiveTissue	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_ConnectiveTissue/CTCF_ConnectiveTissue_2024-07-26.logistic.rds
CTCF	Cordblood	CTCF_Cordblood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Cordblood/CTCF_Cordblood_2024-07-26.logistic.rds
CTCF	Endometrium	CTCF_Endometrium	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Endometrium/CTCF_Endometrium_2024-07-26.logistic.rds
CTCF	Esophagus	CTCF_Esophagus	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Esophagus/CTCF_Esophagus_2024-07-26.logistic.rds
CTCF	Eye	CTCF_Eye	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Eye/CTCF_Eye_2024-07-26.logistic.rds
